Symbol,Catalyst_Score,Recommendation,Catalyst_Type,Explosive_Potential,Price_Change_1D,Volume_Spike,Technical_Score,Fundamental_Score,Overall_Score,Risk_Level,Hedge_Fund_Rank,Institutional_Rank,Quant_Rank
APD,71.05702308804084,STRONG BUY,product,True,21.256314267308305,13.260133892266394,0.0,5.0,16.7,High,N/A,N/A,N/A
ASTS,70.46071863971102,STRONG BUY,partnership,True,28.968442755490393,7.892884258603788,98.0,95.0,81.48,High,1,1,1
BIOC,69.89089571624879,BUY,product,True,30.281435221070012,8.081058900974318,48.92362700137415,55.91271657299904,52.418171787186594,High,N/A,N/A,N/A
BK,69.8307294381625,BUY,partnership,True,27.844737877930445,7.572779920370186,48.88151060671375,55.86458355053001,52.37304707862188,High,N/A,N/A,N/A
ABT,68.33711825134012,BUY,earnings,True,26.692701021702817,5.4643719383068525,47.83598277593808,54.669694601072095,51.252838688505086,High,N/A,N/A,N/A
BLK,68.05787671838257,BUY,contract,True,22.416159290827977,14.015719388698294,47.6405137028678,54.44630137470606,51.04340753878693,High,N/A,N/A,N/A
AVB,67.94042646570571,BUY,product,True,30.718616376068297,6.903900202590338,47.558298525994,54.35234117256457,50.955319849279284,High,N/A,N/A,N/A
AEHR,66.88011853145056,BUY,earnings,True,17.110135429103845,13.839010377298527,46.816082972015394,53.50409482516045,50.16008889858792,High,N/A,N/A,N/A
AMPE,66.51230951180617,BUY,partnership,True,22.360808213501876,8.839073456962584,46.55861665826431,53.209847609444935,49.884232133854624,High,N/A,N/A,N/A
BEAM,66.14064734790017,BUY,partnership,True,27.70691153550616,6.005702347566282,46.29845314353012,52.91251787832014,49.60548551092513,High,N/A,N/A,N/A
BATT,66.10984766265773,BUY,partnership,True,18.680502845133294,11.798261796819446,46.27689336386041,52.88787813012618,49.582385746993296,High,N/A,N/A,N/A
ALGM,65.93690607951496,BUY,partnership,True,30.52712181719651,6.708521857992672,46.155834255660466,52.74952486361197,49.452679559636216,High,N/A,N/A,N/A
AMAT,65.9091876745421,BUY,product,True,32.47661108194714,13.999436240808038,46.136431372179466,52.72735013963368,49.43189075590657,High,N/A,N/A,N/A
ADI,65.73021801304185,BUY,earnings,True,19.780571157926058,9.192920635072568,46.01115260912929,52.584174410433484,49.29766350978139,High,N/A,N/A,N/A
BKKT,65.6528915158751,BUY,earnings,True,16.554799749820422,10.93288502008343,45.95702406111256,52.522313212700084,49.23966863690632,High,N/A,N/A,N/A
APA,63.658932415151355,BUY,earnings,True,19.41568454137972,10.752083375315733,44.56125269060595,50.927145932121086,47.744199311363516,Medium,N/A,N/A,N/A
AR.TO,63.03168535949122,BUY,product,True,15.95272647102295,6.405096343391828,44.12217975164385,50.42534828759298,47.27376401961841,Medium,N/A,N/A,N/A
ADTX,62.80229650795947,BUY,upgrade,False,5.848487479173558,4.996878911141155,43.961607555571625,50.24183720636758,47.101722380969605,Medium,N/A,N/A,N/A
AFRM,62.366769042297655,BUY,partnership,True,20.486398567199068,8.914581481698493,43.65673832960836,49.89341523383813,46.77507678172324,Medium,N/A,N/A,N/A
BB,62.30023991544249,BUY,contract,True,23.393734379573427,11.0727868499961,43.61016794080974,49.840191932353996,46.72517993658187,Medium,N/A,N/A,N/A
ARWR,62.28109111711937,BUY,partnership,False,5.0148582133576065,3.2870009497005452,43.596763781983555,49.8248728936955,46.71081833783953,Medium,N/A,N/A,N/A
ALPP,61.78650762998524,BUY,product,False,7.5111115155248225,5.126263604012678,43.25055534098966,49.42920610398819,46.33988072248893,Medium,N/A,N/A,N/A
AVGO,61.2909606396604,BUY,upgrade,False,7.919132608361326,4.622494226078402,42.903672447762276,49.03276851172832,45.9682204797453,Medium,N/A,N/A,N/A
AVCT,61.118674684097904,BUY,upgrade,False,5.59204631919833,4.556137012529652,42.78307227886853,48.89493974727833,45.83900601307343,Medium,N/A,N/A,N/A
AMD,61.01171249839966,BUY,partnership,False,9.381010944712347,3.405617324294269,42.70819874887976,48.80936999871973,45.75878437379974,Medium,N/A,N/A,N/A
ANY,60.2251460793518,BUY,upgrade,False,5.703876717199457,5.328839812633767,42.15760225554626,48.180116863481445,45.16885955951385,Medium,N/A,N/A,N/A
AMTD,59.95035395968012,BUY,partnership,False,7.22355815708891,4.484692746924481,41.965247771776085,47.9602831677441,44.96276546976009,Medium,N/A,N/A,N/A
BE,59.53831193225021,BUY,product,True,10.715405004998882,6.055475197375731,41.67681835257515,47.63064954580017,44.653733949187654,Medium,N/A,N/A,N/A
AEM.TO,58.90292112406903,BUY,earnings,False,6.761014810559608,4.156527511258129,41.23204478684832,47.12233689925523,44.177190843051775,Medium,N/A,N/A,N/A
BFRI,58.582551884172574,BUY,product,False,5.186431658846717,3.904974569885733,41.0077863189208,46.86604150733806,43.93691391312943,Medium,N/A,N/A,N/A
ATVI,58.4674422716612,BUY,partnership,True,10.555016142627824,4.759841228768606,40.92720959016284,46.77395381732896,43.8505817037459,Medium,N/A,N/A,N/A
ABX.TO,57.42384702241324,BUY,upgrade,True,10.892409368984321,6.968028792733019,40.19669291568927,45.93907761793059,43.06788526680993,Medium,N/A,N/A,N/A
ARRY,57.188003316651404,BUY,upgrade,False,9.278177121986515,5.9274583865544495,40.03160232165598,45.750402653321125,42.89100248748855,Medium,N/A,N/A,N/A
ADC,57.136367613542724,BUY,earnings,True,10.115851013937487,4.013856847152091,39.995457329479905,45.709094090834185,42.852275710157045,Medium,N/A,N/A,N/A
BENE,56.21677472106444,BUY,contract,False,5.306661263555423,6.257714289899749,39.3517423047451,44.97341977685156,42.16258104079833,Medium,N/A,N/A,N/A
ACB.TO,56.11386600603737,BUY,upgrade,False,6.286459538961049,6.555003009709503,39.27970620422616,44.891092804829896,42.08539950452803,Medium,N/A,N/A,N/A
ATNF,56.103042161142625,BUY,earnings,True,10.35497755014212,4.1848452225253485,39.272129512799836,44.8824337289141,42.077281620856965,Medium,N/A,N/A,N/A
BHAT,55.23374397822347,BUY,product,False,1.7356054261751006,1.54393819725056,38.663620784756425,44.186995182578784,41.42530798366761,Medium,N/A,N/A,N/A
BIDU,54.869190826515585,BUY,contract,False,6.698741349525533,4.692938145329383,38.40843357856091,43.89535266121247,41.15189311988669,Medium,N/A,N/A,N/A
AEE,54.5311043361327,BUY,partnership,False,7.504702728864123,5.210081650939955,38.17177303529289,43.62488346890616,40.898328252099525,Medium,N/A,N/A,N/A
ASTR,54.378247736881974,BUY,contract,False,4.579233003922407,1.7882654797568809,38.06477341581738,43.50259818950558,40.78368580266148,Medium,N/A,N/A,N/A
ANTM,54.36401856650615,BUY,upgrade,False,1.4571769703095352,1.3325500313211585,38.0548129965543,43.49121485320492,40.773013924879606,Medium,N/A,N/A,N/A
AVAV,54.30670247591132,BUY,product,False,5.424959114768007,1.792099273263052,38.01469173313792,43.44536198072906,40.73002685693349,Medium,N/A,N/A,N/A
BLRX,54.21714826654032,BUY,earnings,False,3.452033088304146,1.8931799140571324,37.952003786578224,43.373718613232256,40.66286119990524,Medium,N/A,N/A,N/A
ANVS,54.02744181575446,BUY,contract,False,9.759235360871228,5.97392448756889,37.819209271028114,43.22195345260357,40.52058136181584,Medium,N/A,N/A,N/A
B2GOLD.TO,54.003449371577524,BUY,partnership,True,10.559638784341013,5.173860670281641,37.80241456010427,43.20275949726202,40.502587028683145,Medium,N/A,N/A,N/A
AGI.TO,53.636955840184925,BUY,product,False,4.241364617945211,2.0708972252773403,37.54586908812944,42.909564672147944,40.22771688013869,Medium,N/A,N/A,N/A
ABNB,53.6112297378033,BUY,partnership,False,5.228098332901301,2.2259544248318828,37.52786081646231,42.88898379024264,40.20842230335248,Medium,N/A,N/A,N/A
AMC,52.08352906115338,BUY,contract,False,5.055667505151757,1.998673695762215,36.45847034280736,41.666823248922704,39.062646795865035,Medium,N/A,N/A,N/A
AUY.TO,51.73598961830294,BUY,earnings,False,5.112060031262075,1.9578156830437083,36.215192732812056,41.38879169464235,38.8019922137272,Medium,N/A,N/A,N/A
